,shoeName, brand, styleID, retailPrice, lowestResellPrice_StockX, lowestResellPrice_Goat, lowestResellPrice_flightClub, id, silhoutte, Colorway, releaseDate, description
292,Nike Crater Impact Summit White Grey Fog (W), Nike, CW2386-100, 100, 61, 49, 49, 6374fd7803a96e36ed3d3c0a, Nike Crater Impact, Summit White/Platinum Tint/Photon Dust/Grey Fog, 2021-04-08, A track-inspired shoe the Wmns Crater Impact 'Summit White Grey Fog' also features a sustainable construction. Built with mesh the shoe's upper appears in off-white highlighted by the zigzag stitching and heel pull-loop which are finished in orange. Embroidered Swoosh branding and straight-edged overlays are the product of the shoe's more efficient construction while underfoot a Crater foam midsole which incorporates Nike Grind provides cushioning.
293,Nike Sock Dart Black White, Nike, 833124-001, 130, 198, 100, 80, 6374fd7803a96e36ed3d3c0b, Nike Sock Dart, Black/Black-White, 2016-04-22, The Nike Sock Dart SE takes on a simple colorway distinguished by an all-black finish on the breathable mesh upper. A perforated forefoot strap and reinforced toe bumper are similarly rendered in black while a molded heel piece delivers a contrasting pop of white. The slip-on silhouette rests on a lightweight white midsole with black speckled detailing.
294,Nike Flyknit Racer Oreo, Nike, 526628-101, 150, 221, 224, 224, 6374fd7803a96e36ed3d3c0d, Nike Flyknit Racer, Black/White, 2013-06-21, The Flyknit Racer 'Oreo 1.0' features a colorway based on a 2013 model working a mix of black and white into its Flyknit build. The midfoot and toe box sport Volt accents while Flywire cables promote a locked-down fit. The black and white tooling includes a Phylon midsole and rubber outsole.
295,Nike Aqua Rift Volt Fuchsia (W), Nike, CW7164-700, 140, 66, 77, 77, 6374fd7803a96e36ed3d3c0f, Nike Aqua Rift, Volt/Fuchsia Blast-Black-Pistachio Frost-Gold, 2020-04-27, The Wmns Aqua Rift 'Volt Fuchsia' brings a vibrant look to its slip-on construction. Built with neoprene the upper is supported by an adjustable forefoot strap with mesh inserts providing breathability. The shoe's split-toe construction borrows from the Air Rift while underfoot the white foam midsole takes inspiration from Japanese sandals.
296,Nike React Infinity Run Flyknit 2 Black White Racer Blue Cyber, Nike, CT2357-100, 160, 109, 79, 79, 6374fd7803a96e36ed3d3c10, Nike React Infinity Run Flyknit 2, White/Black-Racer Blue-Cyber, 2021-01-07, The React Infinity Run Flyknit 2 'Racer Blue Cyber' brings vibrant accents to a running shoe designed for performance. The shoe's upper is built with Flyknit that's finished in a mix of black and grey incorporating strengthened zones around the toe eyestay and heel. Supported by integrated Flywire cables and a Racer Blue external heel counter the upper is also highlighted by a Cyber Swoosh. Underfoot a rocker React midsole provides cushioning while promoting a more natural stride giving way to a rubber outsole for traction.
297,Nike Daybreak Cool Grey Hyper Grape, Nike, BV7725-001, 100, 100, 85, 65, 6374fd7803a96e36ed3d3c13, Nike Daybreak, Cool Grey/Hyper Grape-Wolf Grey, 2019-06-22, The Daybreak SP 'Hyper Grape' brings a largely neutral colorway to the 1979 runner. Released in June 2019 the shoe's nylon and hairy suede upper appears in Cool Grey and Wolf Grey accented by a Hyper Grape Swoosh on the side wall. A white foam midsole provides cushioning underfoot with an exaggerated rubber outsole included for traction.
298,Nike Cortez Basic Nylon Compton, Nike, 902804-001, 75, 269, 650, 650, 6374fd7803a96e36ed3d3c15, Nike Cortez Basic Nylon, Black/White-Metallic Gold, 2017-06-01, The Cortez Basic Nylon 'Compton' pays tribute to the silhouette's popularity in Compton. Featuring a black nylon upper with suede overlays on the eyelets toe and heel the heel patch sports 'Compton.' The heel also sports 'CPT' in metallic gold with more metallic gold on the lace deubré and tongue tag.
299,Nike Joyride CC3 Setter Matthew Williams Wolf Grey, Nike, CU7623-002, 200, 81, 34, 34, 6374fd7803a96e36ed3d3c19, Nike Joyride CC3 Setter, Wolf Grey/White, 2019-11-22," Dropped in December 2019 the Matthew M. Williams x Nike Joyride CC3 Setter imparts a Milanese ""sprezzatura""—unique coolness—drawing influence from the outdoors. This edition shows off a Wolf Grey mesh textile and leather upper with red elements and a rigid heel clip. The experimental feel is extended to the lacing pull tabs and distinctive Swooshes. A white midsole and semi-translucent rubber outsole deliver cushioning and control."
300,Nike Shox TL Nova Barely Grape (W), Nike, CV3019-100, 160, 189, 160, 99, 6374fd7803a96e36ed3d3c1a, Nike Shox TL Nova, White/Barely Grape, 2020-02-19, The Wmns Shox TL Nova 'Barely Grape' brings pastel accents on its retro-style design. Built with a mesh base the upper is overlaid by leather for support while a heel pull-loop provides easy on and off. The leather toe box included laser perforations for breathability while underfoot a TPU plate works with full-length Shox to provide cushioning.
301,Nike P-6000 Laser Fuchsia (W), Nike, BV1021-100, 100, 200, 115, 115, 6374fd7803a96e36ed3d3c1c, Nike P-6000, White/Laser Fuchsia-Metallic Platinum, 2019-05-02, The Wmns P-6000 'Laser Fuchsia' emerges with a retrofuturistic colorway to go with its retrofuturistic construction. The shoe's mesh inner bootie construction sports metallic silver leather overlays while the Laser Fucshia and yellow detailing most prominent on the Swoosh add color to the design. Underfoot the midsole houses dual Air units with a Laser Fuchsia hit on the heel to add another retro touch. A rubber outsole provides traction.
302,Nike Daybreak University Red Gold Suede (W), Nike, CQ7619-700, 120, 64, 53, 53, 6374fd7803a96e36ed3d3c1d, Nike Daybreak, Gold Suede/Black-University Red-Sail, 2019-12-26, Released in December 2019 the Wmns Daybreak QS 'Gold Suede' updates the 1979 runner. The shoe's upper is built with grey textile overlaid by leather on the toe and heel. More leather marks the Swoosh branding while nylon emerges at the eyestay and heel patch. Underfoot a white foam midsole gives way to a waffle rubber outsole which provides traction.
303,Nike React Element 55 Indigo Fog Mystic Navy, Nike, BQ6166-402, 130, 148, 110, 95, 6374fd7803a96e36ed3d3c20, Nike React Element 55, Indigo Fog/Mystic Navy-Half Blue-White, 2019-03-25, The React Element 55 'Indigo Fog' takes inspiration from the design lines of the Nike Internationalist. The shoe's textile and synthetic upper sports reflective accents and taped seams while the Indigo Fog Mystic Navy and Half Blue upper is contrasted by a white Swoosh and eyestay. Underfoot the React foam midsole includes rubber pods for traction.
304,Nike Roshe Run Navy Black White, Nike, 511881-405, 75, 101, 90, 90, 6374fd7803a96e36ed3d3c27, Nike Roshe Run, Midnight Navy/Black-White, 2015-02-09, The Roshe Run 'Midnight Navy' features a stark two-tone colorway on its performance running design. The shoe's seamless mesh upper is finished entirely in Midnight Navy save for the black Swoosh on the quarter panel. Underfoot the white tooling adds contrast with a waffle pattern for traction. A rubber insole is included for comfort.
305,Nike Sock Dart Mid Stone Island Sequoia, Nike, 910090-300, 140, 199, 125, 125, 6374fd7803a96e36ed3d3c28, Nike Sock Dart Mid, Sequoia/Light Orewood Brown, 2017-05-11, Italy’s Stone Island joined forces with NikeLab to rework the Sock Dart Mid SP launching in a trio of colorways in 2017. This pair makes use of a mesh upper in Sequoia treated with water-resistant silicon print across the vamp. An Ariaprene collar delivers a snug fit while the outsole has a multidirectional sipe pattern for improved traction. The kicks are finished with a dual-branded tongue tag.
306,Nike Air Zoom Pegasus 36 Black, Nike, CD4573-001, 120, 151, 125, 124, 6374fd7803a96e36ed3d3c2b, Nike Air Zoom Pegasus 36, Black/Midnight Turquoise-Aurora-Metallic Summit White, 2020-01-02, Part of a five-shoe collection the Air Zoom Pegasus 36 'Ekiden Zoom Pack' released for Japan's relay race season. Built with mesh the shoe's upper is supported by visible Flywire cables that anchor the lacing system. A white Swoosh contrasts the side wall while underfoot full-length Zoom Air provides cushioning.
307,Nike Daybreak Black Metallic Gold (W), Nike, DC9213-001, 90, 100, 88, 88, 6374fd7903a96e36ed3d3c37, Nike Daybreak, Black/Metallic Gold/White/Black, 2020-10-26, The Wmns Daybreak 'Black Metallic Gold' emerges with an elevated look on its vintage running construction. The shoe's upper is built with a black mesh base overlaid by tonal leather at toe and heel for support. The heel patch Swoosh and leather tongue tag accent the look in metallic gold with all three elements including a tumbled build. Underfoot a white foam midsole provides cushioning and contrast giving way to a waffle rubber outsole for traction.
308,Nike Sock Dart Independence Day White, Nike, 686058-111, 130, 180, 220, 110, 6374fd7903a96e36ed3d3c3f, Nike Sock Dart, White/White, 2015-06-25, The Sock Dart SP 'Independence Day' released as part of a pack of USA-inspired colorways for Independence Day. Featuring a white knit and mesh upper the fit is supported by a TPU midfoot strap and a tonal heel counter. The branding adds hits of contrasting black with more black on the heel of the grooved outsole.
309,Nike React Element 55 Black Solar Red, Nike, BQ6166-002, 130, 175, 109, 70, 6374fd7903a96e36ed3d3c40, Nike React Element 55, Black/Solar Red-Cool Grey, 2018-09-29, The Nike Women’s React Element 55 ‘Solar Red’ shoe features Solar Red on the Swoosh branding and outsole standing out in contrast to its matte dark grey upper. The React Element 55 was designed with the silhouette of the React Element 87’s hybrid lifestyle and running shoe in mind; the opaque finish of the React Element 55 is the only notable distinguishing factor between the two. The casual sneaker retains the same soft feel React midsole and comfortable slip-on design as its antecedent.
310,Nike Free Run 5.0 Black White (W), Nike, CZ1891-001, 100, 44, 39, 39, 6374fd7903a96e36ed3d3c42, Nike Free Run 5.0, Black/Dark Smoke Grey/White, 2021-07-01, Sporting a classic two-tone look the Wmns Free Run 5.0 Next Nature 'Black White' is a flexible running shoe. The low-profile silhouette emerges with a sock-like upper in ventilated knit textile finished in black and sporting a textured surface. Screen-printed Swoosh branding marks the side wall contrasting the look in white while a heel pull-loop is included for easy on and off. Underfoot the white foam midsole includes laser-cut flex grooves for flexible traction.
311,Nike React Element 55 Coastal Blue, Nike, CU1466-400, 130, 259, 83, 83, 6374fd7903a96e36ed3d3c48, Nike React Element 55, Coastal Blue/White/Cerulean/Green Abyss, 2020-11-02, Featuring a series of blue hues the React Element 55 'Coastal Blue' is a lifestyle runner with retro inspiration. The shoe's upper is built with textile bolstered by no-sew overlays and stabilized by a TPU heel counter. The floating eyestay includes bar tacks to add to the aesthetic while internal webbing straps support the lacing system. Underfoot a React foam midsole provides cushioning with rubber pods on the outsole for traction.
312,Nike Roshe Run Cortez Forrest Gump, Nike, 806952-164, 80, 286, 408, 408, 6374fd7903a96e36ed3d3c4c, Nike Roshe Run, White/Varsity Red-Game Royal, 2015-06-18, A hybrid silhouette the Roshe Cortez NM SP 'Forrest Gump' combines the upper of the Cortez and tooling of the Roshe while sporting the famous colorway featured on the Nike Cortez in Forrest Gump. The shoe's white leather upper is accented by a Varsity Red leather Swoosh while the collar is replaced by a padding-free deconstructed design with a fold-down tab. The Phylon midsole sports a Game Royal streak.
313,Nike Air Zoom Pegasus 38 Shield Black White, Nike, DC4073-001, 130, 87, 85, 85, 6374fd7903a96e36ed3d3c4e, Nike Air Zoom Pegasus 38 Shield, Black/Platinum Tint-Dk Smoke Grey, 2021-11-05, Delivering a neutral colorway to a performance running shoe made for rough weather is the Nike Air Zoom Pegasus 38 Shield 'Black Dark Smoke Grey.' Water-repellent black mesh is utilized on the upper with tonal no-sew skins and accented with reflective detailing. The insulated tongue is designed to keep moisture and debris out of the shoe with a React foam midsole with forefoot Zoom Air cushioning and a Storm-Tread rubber outsole featured on the bottom.
314,Nike Air Presto South Korea (2020) (TD), Nike, CW7461-100, 65, 115, 110, 110, 6374fd7903a96e36ed3d3c4f, Nike Air Presto, White/Black-Red Orbit-Metallic Gold, 2020-05-08, The Air Presto TD 'South Korea' is a toddlers' shoe that pays tribute to the South Korean national team. The shoe's stretchy textile upper sports a series of tiger stripes throughout its construction overlaid by a semitranslcuent lacing cage in red on the lateral side and blue on the medial. The heel panel sports the Korean flag while a gold heel pull-loop is included for easy on and off.
315,Nike React Element 55 White Desert Ember (W), Nike, BQ2728-101, 130, 99, 80, 80, 6374fd7903a96e36ed3d3c51, Nike React Element 55, White/White/Ember Glow-Desert Ore, 2019-03-21, The Wmns React Element 55 'White Desert Ember' puts vibrant accents on its performance running construction. The shoe's white synthetic upper is accented by Desert Ore on the Swoosh heel lining and underneath the eyestay. Ember Glow appears on the eyestay and heel while underfoot the React foam midsole includes Ember Glow traction pods that climb up the forefoot and heel.
316,Nike Air Presto Unholy Cumulus, Nike, 789870-181, 130, undefined, 250, 250, 6374fd7903a96e36ed3d3c58, Nike Air Presto, White/Skylight-Black-Oriental Poppy, 2015-08-07, The Nike Air Presto ‘Unholy Cumulus’ brings back one of silhouette’s original colorways from 2000. The vibrant color scheme pairs a seafoam midfoot cage with a breathable mesh upper in white. The same hues are applied to the sneaker’s lightweight phylon midsole which is accented with mini Swoosh in contrasting red. A matching red Nike Swoosh adorns the toe box.
317,Nike Air Presto Mid Obsidian Black, Nike, AA0868-005, 140, 1400, 94, undefined, 6374fd7903a96e36ed3d3c59, Nike Air Presto Mid, Black/Black-Obsidian, 2017-03-23, The mid-top build of the NikeLab Air Presto Mid SP 'Obsidian' puts Nike's signature dark blue on the forefoot of the running silhouette. The mesh upper transitions to black at the heel while two zip closures help secure the fit. The usual TPU overlays at the heel and lacing system provided further support while a compression-molded Phylon midsole provides cushioning.
318,Nike Flyknit Racer Orange Dark Grey (2016), Nike, 526628-810, 150, 200, 180, 180, 6374fd7903a96e36ed3d3c5b, Nike Flyknit Racer, Total Orange/White-Dark Grey, 2016-05-10, The Flyknit Racer 'Total Orange' 2016 emerges with a contrasting colorway that works a mix of Total Orange and Dark Grey into its Flyknit upper. Contrasted by a solid black Swoosh on the side wall and collar 3M reflective detailing adds a flash throughout. Flywire cables support the fit as does the white Phylon tooling underfoot.
319,Nike Air Presto Ultra Flyknit Black (W), Nike, 835738-001, 150, 482, 182, 182, 6374fd7903a96e36ed3d3c5f, Nike Air Presto Ultra Flyknit, Black/Black, 2017-07-01, The classic running design of the Air Presto gets converted into a modernized mid-top with the Wmns Air Presto Flyknit Ultra 'Black.' The upper emerges with a black Flyknit construction supported by an external lacing cage and heel counter while the Ultra midsole is designed to be lightweight. The Air Presto outsole pattern provides traction.
320,Nike Epic React Flyknit Copper Flash, Nike, AQ0067-800, 150, 150, 85, 85, 6374fd7903a96e36ed3d3c60, Nike Epic React Flyknit, Copper Flash/Black-Flash Crimson-Moon Particle, 2018-09-22, Epic React Flyknit's ‘Copper Flash’ edition flaunts a vibrant Flyknit construction overlaid with a red and orange gradient on the sock-like upper that wraps the foot. The shoe rests on a React midsole that encourages propulsion while the translucent outsole displays a series of pink and purple tones for contrast.
321,Nike Air Huarache Gripp Black Team Orange, Nike, AO1730-001, 140, 228, 125, 125, 6374fd7903a96e36ed3d3c62, Nike Air Huarache Gripp, Black/Team Orange-White, 2018-11-08, A reboot of the classic runner created by Tinker Hatfield in the early 90s the Air Huarache Gripp utilizes a heightened collar with a neoprene bootie application while ditching the traditional laces for a toggle fastening system. The Team Orange hues up above are contrasted with a black midsole and underlays while the external heel counter is fortified with an ankle strap for support.
322,Nike Flyknit Trainer White Black (2012), Nike, 532984-100, 150, 375, 1036, 361, 6374fd7903a96e36ed3d3c64, Nike Flyknit Trainer, White/Black-White, 2012-07-01, This is the Nike Flyknit Trainer's initial October 2012 release presented in the traditional black and white colorway. The adaptive Flyknit upper which offers lightweight breathability displays black and white construction in the forefoot region supported by strong white on the heel. Contrasting black Flywire wires provide a lockdown fit while responsive Zoom Air cushioning is provided by a two-tone midsole.
323,Nike Zoom Vaporfly 4% Hyper Royal, Nike, 880847-411, 250, 250, 125, 125, 6374fd7903a96e36ed3d3c66, Nike Zoom Vaporfly 4%, Hyper Royal/Deep Royal Blue-Royal Tint-White, 2018-01-16, Nike’s Breaking2 program was initiated to achieve a sub-two-hour marathon time and the Zoom Vaporfly 4% was developed as a part of that. This 'Hyper Royal' colorway features both the Hyper Royal and a deep royal blue on the Flymesh upper and a large white Swoosh on the forefoot. There is a smaller Swoosh on the medial side panel and the back heel features 8:88:88 in block lettering so consumers can fill in their personal best.
324,Nike Joyride Run Flyknit Oreo (W), Nike, AQ2731-001, 180, 83, 64, 64, 6374fd7903a96e36ed3d3c6b, Nike Joyride Run Flyknit, Black/Black/White, 2019-08-14, The Wmns Joyride Run Flyknit 'Oreo' is a women's performance running shoe. The shoe's upper is built with black Flyknit with a stretchy inner sleeve for a slip-on fit. The lacing system includes independent upper eyelets for a more secure fit while underfoot the contrasting white midsole includes visible TPE beads in the heel with the element also visible underfoot.
325,Nike Air Moc Tech Fleece Black, Nike, 834591-010, 125, 250, 205, 205, 6374fd7903a96e36ed3d3c7f, Nike Air Moc, Black/Cool Grey, 2016-03-04, The Air Moc Tech Fleece 'Black' takes the Air Moc silhouette from Nike's All Conditions Gear line and readies it with a cold-weather build. The laceless black upper is built with the signature Tech Fleece material while an exaggerated collar and lace toggle at the heel provide support. Underfoot the Cool Grey sole features a lugged traction pattern.
326,Nike React Element 55 Triple Black, Nike, BQ6166-008, 130, 80, 75, 75, 6374fd7903a96e36ed3d3c81, Nike React Element 55, Black/Dark Grey-Black, 2018-12-03, The Nike React Element 55 'Triple Black' stands out with a black mesh upper covered by translucent materials. Coupled with the stripped-down appearance of the outsole the shoe also features a stretchy hiking-inspired lacing system a neoprene tongue and soft leather embellishments on the eyestay. Further design additions include the Nike React branding on the tongue and undersized logos on each heel.
327,Nike Vapor Street Off-White Tour Yellow (W), Nike, CD8178-700, 190, 110, 88, 88, 6374fd7903a96e36ed3d3c82, Nike Vapor Street, Tour Yellow/Black-Light Bone, 2019-11-14, The OFF-WHITE x women’s Vapor Street 'Tour Yellow' features Virgil progressive interpretation of Nike’s rich heritage in track and field. Anchored by an outsole fitted with racing spikes the stylized running shoe features a transparent overlay atop a yellow nylon upper. Unique details include a secondary lacing system exposed-foam nylon tongue and Virgil’s signature printed text on the medial sidewall.
0,Reebok Pump Running Dual Garbstore Blue, Reebok, M43015, undefined, undefined, undefined, undefined, 6374ff48c30ceb3748b481b6, Reebok Pump Running Dual, Blue/Blue, 2014-11-01, <b>Please Note: due to natural aging deadstock pairs may come without a functioning pump unit.<b>
0,Brooks Chariot Bait Centennial, Brooks, 110178-1D-846, 120, 148, 54, undefined, 637501761cb69837c65302bb, Brooks Chariot, Navy/Green/Red, 2014-11-22," Released on November 22 2014 to celebrate their fourth store location the BAIT x Brooke Chariot ""Centennial"" was available at BAIT Seattle on a first come-first served basis. As an extra incentive the first 100 people to purchase the shoes or a BAIT x K-Way jacket would be eligible to receive a free K-Way Klaude Klassic Jacket. Per usual BAIT also released a limited number of Centennial Brooks online through their online raffle system. Those selected were contacted with a private link to purchase the BAIT Centennials. Inspired by the Centennial Anniversary of Brooks the Centennial Chariots featured high-grade leather and pigskin suede on the upper in different hues of deep dark blue bluish-green and red. Cutting through the upper is the oversized Brooks logo in off-white giving it the look of a naturally aged white representative of the aging of the Brooks brand itself. ""Brooks"" is embossed on the rear heel tab and their signature labeling is present on the Chariot Centennial's tongue. The BAIT Centennials came with two pairs of waxed rope and two sets of waxed flat lace. Retailing at $120 the BAIT x Brooks Chariot ""Centennial"" was a simply yet sophisticated celebration of both Brooks' 100 anniversary and the beginning of the BAIT-Seattle story."
1,Brooks Launch 7 Rock N Roll, Brooks, 1103241D913-095-913, 100, 91, undefined, undefined, 637501761cb69837c65302bc, Brooks Launch 7, Black/White, 2020-01-17, 
2,Brooks Regent Bait Rabbit Foot, Brooks, 110205-1D-978, 130, undefined, 63, undefined, 637501761cb69837c65302bd, Brooks Regent, Rabbit/Steel Grey-Ash-Rose Water, 2015-09-12, 
3,Vans Slip-On Taka Hayashi x Brooks Tortoise Shell, Vans, VN0A2Y36KCW, 225, undefined, undefined, undefined, 637501761cb69837c65302be, Vans Slip-On, Tortoise Shell/Peyote Bird, 2016-12-03, 
4,Brooks Regent Bait Inferno, Brooks, 110205-1D-656, undefined, 134, 63, undefined, 637501761cb69837c65302bf, Brooks Regent, Jester Red/Fiery Red/Clear, , 
5,Brooks Hyperion Elite 2 Grey, Brooks, 1000371D111, 250, 242, 182, undefined, 637501761cb69837c65302c0, Brooks Hyperion Elite 2, White/Silver/Nightlife, , 
6,Brooks Chariot Concepts Merlot, Brooks, 1101781D464, 115, 80, 85, undefined, 637501761cb69837c65302c1, Brooks Chariot, Royal/Navy/Red, 2014-09-13, 
7,Brooks Fusion Bait Oyster, Brooks, 110194-1D-967, 160, undefined, undefined, undefined, 637501761cb69837c65302c2, Brooks Fusion, Vegetable/Nature, 2015-06-06, 
8,Brooks Hyperion Elite 2 Neon, Brooks, 1000371D172, 250, undefined, 182, undefined, 637501761cb69837c65302c3, Brooks Hyperion Elite 2, Nightlife/White/Black, , 
9,Brooks Transcend 5 Ebony, Brooks, 110276-1D-080, 160, undefined, undefined, undefined, 637501761cb69837c65302c4, Brooks Transcend 5, Ebony/Black-Red, , 
10,Brooks Ghost 14 Hoppy (W), Brooks, 1203561B027, undefined, 199, 250, undefined, 637501761cb69837c65302c5, Brooks Ghost 14, Black/White/Multi, , 
11,Brooks Ghost 14 Hoppy, Brooks, 1103691D027, 140, 199, undefined, undefined, 637501761cb69837c65302c6, Brooks Ghost 14, Black/White/Multi, 2022-04-09, 
12,Vans Sk8-Hi Taka Hayashi x Brooks Tortoise Shell, Vans, VN0A2Y37KCW, 235, 445, 172, 172, 637501761cb69837c65302c7, Vans Sk8-Hi, Tortoise Shell/Peyote Bird, 2016-12-03, 
13,Brooks Launch 3 Energize Me Black, Brooks, 110215-1D-073, 130, undefined, undefined, undefined, 637501761cb69837c65302c8, Brooks Launch 3 Energize Me, Black/High Risk Red, , 
14,Brooks Regent Shoe Gallery 84 Fins, Brooks, 110205-1D-431, 130, 150, 105, undefined, 637501761cb69837c65302c9, Brooks Regent, Turquoise/Orange, 2016-05-07, 
15,Brooks Ghost 10 Navy/Pink-Teal Green (W), Brooks, 120246-1B-451, undefined, undefined, undefined, undefined, 637501761cb69837c65302ca, Brooks Ghost 10, Navy/Pink-Teal Green, , 
16,Brooks Chariot Hanon Scotch Bonnet, Brooks, 110178-1D-063, 130, undefined, undefined, undefined, 637501761cb69837c65302cb, Brooks Chariot, Grey/Fiery Red-Limestone-Classic Green, 2015-02-07, 
17,Brooks Ravenna 6 Skydiver/Red Orange-Cyber Yellow, Brooks, 110186-1D-486, undefined, undefined, undefined, undefined, 637501761cb69837c65302cc, Brooks Ravenna 6, Skydiver/Red Orange-Cyber Yellow, , 
18,Brooks Regent Fairplay Battle of Los Angeles, Brooks, 110205-1D-021, 140, undefined, undefined, undefined, 637501761cb69837c65302cd, Brooks Regent, Black/Silver, 2017-04-15, 
19,Brooks DYAD 8 Riverrock, Brooks, 110170-2E-040, 220, undefined, undefined, undefined, 637501761cb69837c65302ce, Brooks DYAD 8, Riverrock/Black-Nightlife, , 
20,Brooks Chariot Copper Brown Leather, Brooks, 110178-1D-282, 140, undefined, undefined, undefined, 637501761cb69837c65302cf, Brooks Chariot, Copper Brown Leather, , 
21,Brooks Regent Alumni the Great Mistake, Brooks, 110205-1D-122, 135, undefined, undefined, undefined, 637501761cb69837c65302d0, Brooks Regent, Sugar/Swizzle-Coconut Milk, 2017-03-04, 
22,Beast 1 24 Kilates La Bestia, Brooks, 110224-1D-619, 150, undefined, undefined, undefined, 637501761cb69837c65302d1, Beast 1, High Risk Red / Black, 2016-07-02, 
23,Nike Dunk Low EMB NBA 75th Anniversary Brooklyn Nets, Nike, DD3363-001, 110, 142, 140, 130, 637501761cb69837c65302d2, Nike Dunk Low EMB, Grey Fog/White/Blue Void/Blue Void, 2021-10-19, In celebration of the league's 75th anniversary is the NBA x Nike Dunk Low EMB 'Nets.' The retro low-top resembles the 'Nets' time in New Jersey with a light grey leather upper and contrasting tumbled leather overlays in navy and white. A woven 75th Anniversary tag is on the nylon tongue with a Brooklyn Nets logo stamped on the lateral heel. A diamond graphic is on the metallic lace jewel and is in reference to the NBA's diamond anniversary. It's built on a crisp white midsole with contrasting red stitching and a navy rubber outsole.
24,Nike Kyrie 7 Brooklyn Beats, Nike, CQ9326-100/CQ9327-100, 130, 228, undefined, undefined, 637501761cb69837c65302d3, Nike Kyrie 7, White/Black/Glow/Hyper Royal, 2021-03-18, 
25,Nike Air Force 1 Low Off-White Brooklyn, Nike, DX1419-300, 160, 1225, 1073, 1073, 637501761cb69837c65302d4, Nike Air Force 1 Low, Light Green Spark/Metallic Silver-Light Green Spark, 2022-09-15, The Off-White x Nike Air Force 1 Low 'Brooklyn' features the same color block and details first seen in the 2019 'MCA' iteration and the 2021 'Lemonade' version. The 'Brooklyn' colorway features a vivid green leather upper with classic Abloh details such as exposed foam construction and medial side text in Helvetica. The silver foil Swooshes return with black zigzag stitching along with 'AIR' stamped on the lateral midsole.
26,Nike Dunk Low EMB NBA 75th Anniversary Brooklyn Nets (GS), Nike, DO6288-001, 85, 110, 105, 80, 637501761cb69837c65302d5, Nike Dunk Low EMB, Grey Fog/White/Blue Void/Blue Void, 2021-10-19, 
27,Nike KD 15 Brooklyn Nets, Nike, DC1975-100/DM1054-100, 150, 179, undefined, undefined, 637501761cb69837c65302d6, Nike KD 15, Cloud White/Light Brown/Orange-Black, 2022-05-01," The Nike KD 15 Brooklyn Nets was released as one of the Nike KD 15 offerings in May 2022.Nike KD 15 Brooklyn Nets sneaker is dressed in a cloud white/light-brown/orange-black colorway. It features a dominant white multi-layered mesh and black accents surrounding the lace eyelets. The black accents are also visible on the side Swoosh. The tan outsole and midsole pay tribute to the sneaker’s KD 15 cushioning technology with part of the midsole exposing a bright orange ""Air Zoom"" detailing. The design is completed by including a white-colored heel pull tab that features ""Ea$y"" stitches.During its debut in May 2022 Nike KD 15 Brooklyn Nets retailed at $150."
28,Nike Dunk Low EMB NBA 75th Anniversary Brooklyn Nets (PS), Nike, DC9564-001, 65, 74, 70, 70, 637501761cb69837c65302d7, Nike Dunk Low EMB, Grey Fog/White/Blue Void/Blue Void, 2021-10-19, 
29,Nike Dunk Low EMB NBA 75th Anniversary Brooklyn Nets (TD), Nike, DC9562-001, 50, 83, 62, 62, 637501761cb69837c65302d8, Nike Dunk Low EMB, Grey Fog/White/Blue Void/Blue Void, 2021-10-19, 
30,Puma Clyde Court City Pack Brooklyn Nets, Puma, 191712-11, 120, 96, 89, 89, 637501761cb69837c65302d9, Puma Clyde Court, Puma White/Puma Black, 2019-06-20, Paying tribute to the Brooklyn Nets the Clyde Court 'City Pack - Brooklyn' features a team colorway. Released for the 2019 NBA Draft the shoe includes a knit upper with a bootie construction supported by a tonal heel counter. A black Formstrip completes the team look while underfoot the midsole combines NRGY beads with IGNITE foam for cushioning.
31,Nike Kyrie 7 Brooklyn Black (GS), Nike, CT4080-002, 110, 121, 109, 109, 637501761cb69837c65302da, Nike Kyrie 7, Black/Off Noir/Chile Red/White, 2020-11-23, Giving the nod to the Brooklyn Nets the Kyrie 7 GS 'BK Black' brings a team colorway to Kyrie Irving's seventh signature shoe. The shoe's mesh upper appears in black bolstered by TPU fingers worked into the lacing system. Underfoot the foam midsole provides cushioning giving way to a white rubber outsole that climbs up the forefoot to provide traction and contrast.
32,Nike SB Dunk High Brooklyn Projects Paparazzi, Nike, 313171-025, 120, 195, 241, 241, 637501761cb69837c65302db, Nike SB Dunk High, Black/Black-Valient Red, 2014-08-09, The Brooklyn Projects x Dunk High Premium SB ‘Paparazzi’ takes its inspiration from the infamous paparazzi. Part of a collaboration between Brooklyn Projects and Nike the Melrose-based skate shop applies a 3M reflective overlay to the mostly black upper which features a camera flash design throughout toe box and quarter panel. A similar pattern emerges on the translucent outsole while a camera graphic with the Brooklyn Projects logo appears on the heel. Inside a red velvet collar lining recalls the ropes that separate the paparazzi from the stars they photograph.
33,New Balance 850 Ronnie Fieg Brooklyn Bridge, New Balance, M850KH, 175, 247, 229, 229, 637501761cb69837c65302dc, New Balance 850, Light Blue/Navy, 2014-11-28, The Ronnie Fieg x 850 ‘Brooklyn Bridge’ dropped in 2014 as part of a New Balance ‘NYC Landmarks’ pack that also included a ‘Central Park’ 530. Inspired by the suspension bridge connecting the boroughs of Manhattan and Brooklyn the special-edition 850 features varying shades of blue on the forefoot and quarter panel to reflect the skies that surround the iconic NYC fixture.
